Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1868-04,-0.36299402,-0.66513675,-0.06085131
1868-05,-0.28559557,-0.5878955,0.016704334
1868-06,-0.29764694,-0.54980946,-0.045484435
1868-07,-0.059621982,-0.30119848,0.18195452
1868-08,-0.1932709,-0.45685738,0.070315555
1868-09,-0.34477365,-0.5571461,-0.13240121
1868-10,-0.22966905,-0.4261849,-0.033153232
1868-11,-0.42318085,-0.66923624,-0.17712545
1868-12,-0.31396636,-0.57192636,-0.05600635
1869-01,-0.33569098,-0.6297284,-0.041653544
1869-02,0.13131645,-0.19830833,0.46094123
1869-03,-0.6257712,-0.955734,-0.29580843
1869-04,-0.40569928,-0.7054616,-0.10593699
1869-05,-0.3099707,-0.57051814,-0.049423277
1869-06,-0.38451383,-0.6465563,-0.12247129
1869-07,-0.41707024,-0.6630914,-0.17104907
1869-08,-0.16793925,-0.4234084,0.08752989
1869-09,-0.17162752,-0.3800871,0.036832076
1869-10,-0.2934824,-0.4622508,-0.124713965
1869-11,-0.2818132,-0.47505817,-0.08856823
1869-12,-0.5365831,-0.7834703,-0.289696
1870-01,-0.21106681,-0.4358849,0.013751276
1870-02,-0.4544139,-0.6885369,-0.22029088
1870-03,-0.4983347,-0.75912595,-0.23754346
1870-04,-0.33294073,-0.56307286,-0.102808595
1870-05,-0.2977442,-0.54020154,-0.055286862
1870-06,-0.23123583,-0.4569157,-0.005555956
1870-07,-0.073357955,-0.2875345,0.1408186
1870-08,-0.2582274,-0.5095156,-0.006939244
1870-09,-0.2023172,-0.4136001,0.0089657
1870-10,-0.44285795,-0.65396285,-0.2317531
1870-11,-0.2658218,-0.48923132,-0.042412296
1870-12,-0.6663718,-0.9382973,-0.3944463
1871-01,-0.55831134,-0.82570755,-0.29091513
1871-02,-0.6715548,-0.9617495,-0.3813601
1871-03,-0.17169894,-0.47935697,0.13595909
1871-04,-0.22192766,-0.45470837,0.010853066
1871-05,-0.3622017,-0.61092186,-0.113481514
1871-06,-0.2864155,-0.5228108,-0.05002018
1871-07,-0.082433164,-0.3044722,0.13960588
1871-08,-0.32236677,-0.5468733,-0.09786023
1871-09,-0.36107233,-0.5652693,-0.15687534
1871-10,-0.37327537,-0.55728364,-0.18926708
1871-11,-0.5226968,-0.75467384,-0.29071972
1871-12,-0.48901418,-0.7645088,-0.21351954
1872-01,-0.59878874,-0.85335076,-0.3442267
1872-02,-0.61987036,-0.89861023,-0.34113047
1872-03,-0.523702,-0.8182255,-0.22917853
1872-04,-0.3854148,-0.6421561,-0.12867345
1872-05,-0.14151993,-0.37056223,0.08752235
1872-06,-0.27950048,-0.5010192,-0.057981815
1872-07,-0.14631678,-0.35728696,0.064653404
1872-08,0.008637112,-0.22310326,0.24037747
1872-09,-0.17648244,-0.37449455,0.021529682
1872-10,-0.2035192,-0.37991014,-0.027128257
1872-11,-0.32202852,-0.5166016,-0.12745541
1872-12,-0.5479975,-0.78612375,-0.30987123
1873-01,-0.26165044,-0.48202783,-0.04127305
1873-02,-0.28293252,-0.57342094,0.007555888
1873-03,-0.4087238,-0.65150857,-0.16593905
1873-04,-0.4805553,-0.6951894,-0.26592112
1873-05,-0.3509207,-0.5651311,-0.13671026
1873-06,-0.32054913,-0.53528905,-0.10580918
1873-07,-0.17570111,-0.39297614,0.04157393
1873-08,-0.22783396,-0.4349165,-0.020751415
1873-09,-0.40525547,-0.60818976,-0.20232113
1873-10,-0.3906487,-0.57215583,-0.20914152
1873-11,-0.46331128,-0.66464955,-0.261973
1873-12,-0.3279057,-0.59806544,-0.057746004
1874-01,-0.19854628,-0.45300004,0.055907503
1874-02,-0.43842116,-0.6789994,-0.1978429
1874-03,-0.6729315,-0.92940164,-0.4164614
1874-04,-0.4370358,-0.6482773,-0.22579432
1874-05,-0.33399135,-0.5918376,-0.07614513
1874-06,-0.56584716,-0.79844147,-0.33325285
1874-07,-0.16706698,-0.38213357,0.047999617
1874-08,-0.2960711,-0.52731186,-0.064830355
1874-09,-0.16819394,-0.35974884,0.023360983
1874-10,-0.47115755,-0.6433688,-0.29894635
1874-11,-0.41774487,-0.6313548,-0.20413499
1874-12,-0.31200656,-0.5668208,-0.057192285
1875-01,-0.5711182,-0.79736364,-0.3448727
1875-02,-0.4792721,-0.71974623,-0.23879792
1875-03,-0.56430274,-0.7930157,-0.33558974
1875-04,-0.35805592,-0.5733307,-0.14278117
1875-05,-0.2728362,-0.47623995,-0.069432504
1875-06,-0.27996176,-0.4962079,-0.06371561
1875-07,-0.18206008,-0.38412824,0.02000808
1875-08,-0.24648568,-0.4747995,-0.018171854
1875-09,-0.23427878,-0.44139335,-0.027164232
1875-10,-0.23321441,-0.40914226,-0.057286542
1875-11,-0.50920546,-0.7304494,-0.28796157
1875-12,-0.57672006,-0.8087105,-0.3447295
1876-01,-0.51370406,-0.732396,-0.29501218
1876-02,-0.33739862,-0.56518865,-0.10960863
1876-03,-0.36232424,-0.6376168,-0.08703163
1876-04,-0.42427677,-0.65553075,-0.19302277
